algorithm,cose_alg,jose_enc,iana_aead,hpke_aead,x509_oid,status,notes
AES-128-GCM,1,A128GCM,1,0x0001,2.16.840.1.101.3.4.1.6,rfc,
AES-192-GCM,2,A192GCM,,,2.16.840.1.101.3.4.1.26,rfc,absent from the IANA AEAD registry
AES-256-GCM,3,A256GCM,2,0x0002,2.16.840.1.101.3.4.1.46,rfc,
AES-128-CCM,10/12/30/32,,3,,2.16.840.1.101.3.4.1.7,rfc,COSE splits by nonce and tag length so there is no 1:1 mapping
AES-256-CCM,11/13/31/33,,4,,2.16.840.1.101.3.4.1.47,rfc,COSE splits by nonce and tag length so there is no 1:1 mapping
ChaCha20-Poly1305,24,,29,0x0003,1.2.840.113549.1.9.16.3.18,rfc,
XChaCha20-Poly1305,,,38,,,draft,IANA AEAD registry only; draft-irtf-cfrg-xchacha-03
AES-SIV-CMAC-256,,,15,,,rfc,total key 32 bytes so AES-128 internally
AES-SIV-CMAC-384,,,16,,,rfc,total key 48 bytes so AES-192 internally
AES-SIV-CMAC-512,,,17,,,rfc,total key 64 bytes so AES-256 internally
AES-128-GCM-SIV,,,30,,,rfc,IANA AEAD registry only
AES-256-GCM-SIV,,,31,,,rfc,IANA AEAD registry only
XAES-256-GCM,,,39,,,other,spec at c2sp.org not IETF
AEGIS-128L,,,32,,,rfc,IANA AEAD registry only
AEGIS-256,,,33,,,rfc,IANA AEAD registry only
AEGIS-128X2,,,34,,,rfc,IANA AEAD registry only
AEGIS-128X4,,,35,,,rfc,IANA AEAD registry only
AEGIS-256X2,,,36,,,rfc,IANA AEAD registry only
AEGIS-256X4,,,37,,,rfc,IANA AEAD registry only
A128CBC-HS256,,A128CBC-HS256,,,,rfc,JOSE only; composite construction not a registered AEAD
A256CBC-HS512,,A256CBC-HS512,,,,rfc,JOSE only; composite construction not a registered AEAD
