algorithm,cose_alg,jose_alg,tls_signaturescheme,x509_oid,multicodec_pub,status,notes
Ed25519,-19,Ed25519,0x0807,1.3.101.112,0xed,rfc,fully-specified; prefer over -8
Ed448,-53,Ed448,0x0808,1.3.101.113,0x1203,rfc,fully-specified
EdDSA (polymorphic),-8,EdDSA,,,,deprecated,RFC 9864 deprecates; curve comes from the key
ECDSA-P256-SHA256,-9,ES256,0x0403,1.2.840.10045.4.3.2,0x1200,rfc,COSE -9 is ESP256; JOSE has no ESP256
ECDSA-P384-SHA384,-51,ES384,0x0503,1.2.840.10045.4.3.3,0x1201,rfc,COSE -51 is ESP384; JOSE has no ESP384
ECDSA-P521-SHA512,-52,ES512,0x0603,1.2.840.10045.4.3.4,0x1202,rfc,COSE -52 is ESP512
ES256 (polymorphic),-7,ES256,,,,deprecated,RFC 9864 deprecates in COSE
ES384 (polymorphic),-35,ES384,,,,deprecated,RFC 9864 deprecates in COSE
ES512 (polymorphic),-36,ES512,,,,deprecated,RFC 9864 deprecates in COSE
RSASSA-PKCS1-v1_5-SHA1,,,0x0201,1.2.840.113549.1.1.5,,deprecated,SHA-1; TLS marks it not recommended
RSASSA-PKCS1-v1_5-SHA256,-257,RS256,0x0401,1.2.840.113549.1.1.11,0x1205,rfc,
RSASSA-PKCS1-v1_5-SHA384,-258,RS384,0x0501,1.2.840.113549.1.1.12,0x1205,rfc,
RSASSA-PKCS1-v1_5-SHA512,-259,RS512,0x0601,1.2.840.113549.1.1.13,0x1205,rfc,
RSASSA-PKCS1-v1_5-SHA256-legacy,,,0x0420,1.2.840.113549.1.1.11,,rfc,RFC 9963; a second TLS value for the same algorithm and OID
RSASSA-PKCS1-v1_5-SHA384-legacy,,,0x0520,1.2.840.113549.1.1.12,,rfc,RFC 9963
RSASSA-PKCS1-v1_5-SHA512-legacy,,,0x0620,1.2.840.113549.1.1.13,,rfc,RFC 9963
RSASSA-PSS-rsae-SHA256,-37,PS256,0x0804,1.2.840.113549.1.1.10,0x1205,rfc,TLS splits by certificate key OID: rsae means the SPKI says rsaEncryption
RSASSA-PSS-rsae-SHA384,-38,PS384,0x0805,1.2.840.113549.1.1.10,0x1205,rfc,one PSS OID serves every hash; the hash lives in the AlgorithmIdentifier parameters
RSASSA-PSS-rsae-SHA512,-39,PS512,0x0806,1.2.840.113549.1.1.10,0x1205,rfc,
RSASSA-PSS-pss-SHA256,-37,PS256,0x0809,1.2.840.113549.1.1.10,,rfc,pss means the SPKI itself says id-RSASSA-PSS; same signature algorithm as 0x0804
RSASSA-PSS-pss-SHA384,-38,PS384,0x080A,1.2.840.113549.1.1.10,,rfc,
RSASSA-PSS-pss-SHA512,-39,PS512,0x080B,1.2.840.113549.1.1.10,,rfc,
ECDSA-SHA1,,,0x0203,1.2.840.10045.4.1,,deprecated,SHA-1; TLS marks it not recommended
ECDSA-BrainpoolP256r1-SHA256,-265,,0x081A,1.3.36.3.3.2.8.1.1.7,,rfc,COSE ESB256; the tls13 infix in the TLS name marks a fresh codepoint not a reused one
ECDSA-BrainpoolP384r1-SHA384,-267,,0x081B,1.3.36.3.3.2.8.1.1.11,,rfc,COSE ESB384
ECDSA-BrainpoolP512r1-SHA512,-268,,0x081C,1.3.36.3.3.2.8.1.1.13,,rfc,COSE ESB512
SM2-SM3,,,0x0708,1.2.156.10197.1.501,,rfc,"SM2 and SM3 are Chinese national standards (GB/T); RFC 8998, which puts them in TLS 1.3, is Informational, not standards track"
GOST R 34.10-2012-256 (set A),,,0x0709,1.2.643.7.1.2.1.1.1,,rfc,RFC 9367 Informational (TLS 1.3); a/b/c/d are parameter sets not algorithms. TLS 1.2 signs with SignatureAlgorithm 64 from a different registry - see notes on 0x0840
GOST R 34.10-2012-256 (set B),,,0x070A,1.2.643.2.2.35.1,,rfc,RFC 9367; note the older 1.2.643.2.2 arc
GOST R 34.10-2012-256 (set C),,,0x070B,1.2.643.2.2.35.2,,rfc,RFC 9367
GOST R 34.10-2012-256 (set D),,,0x070C,1.2.643.2.2.35.3,,rfc,RFC 9367
GOST R 34.10-2012-512 (set A),,,0x070D,1.2.643.7.1.2.1.2.1,,rfc,RFC 9367
GOST R 34.10-2012-512 (set B),,,0x070E,1.2.643.7.1.2.1.2.2,,rfc,RFC 9367
GOST R 34.10-2012-512 (set C),,,0x070F,1.2.643.7.1.2.1.2.3,,rfc,RFC 9367
GOST R 34.10-2012-256 (TLS 1.2),,,0x0840,1.2.643.7.1.1.1.1,,rfc,not a SignatureScheme: TLS 1.2 signs with SignatureAlgorithm 64 plus hash 8 (Intrinsic) because the hash is built into the algorithm. 0x0840 is that pair showing through the 16-bit space as 0x08||0x40 and RFC 9189 reserved it to block reuse
GOST R 34.10-2012-512 (TLS 1.2),,,0x0841,1.2.643.7.1.1.1.2,,rfc,the 512-bit half of the same blocking reservation; IANA notes these were taken from the Reserved state by a long-undetected misunderstanding and that new allocations belong in SignatureScheme instead
ECCSI-SHA256,,,0x0704,,,draft,identity-based; draft-wang-tls-raw-public-key-with-ibc-02 expired
ISO IBS1,,,0x0705,1.0.14888.3.0.7,,draft,identity-based signature from ISO/IEC 14888-3; draft expired
ISO IBS2,,,0x0706,1.0.14888.3.0.8,,draft,identity-based signature from ISO/IEC 14888-3; draft expired
