value,name,kx,auth,cipher_mode,key_bits,mac_prf_hash,recommended,reference,notes
0x1301,TLS_AES_128_GCM_SHA256,,,AES-GCM,128,SHA-256,Y,RFC 9846,TLS 1.3 names only the symmetric half; key exchange and authentication are negotiated separately
0x1302,TLS_AES_256_GCM_SHA384,,,AES-GCM,256,SHA-384,Y,RFC 9846,the SHA-384 is the HKDF/PRF hash not a MAC; GCM authenticates by itself
0x1303,TLS_CHACHA20_POLY1305_SHA256,,,ChaCha20-Poly1305,256,SHA-256,Y,RFC 9846,
0x1304,TLS_AES_128_CCM_SHA256,,,AES-CCM,128,SHA-256,Y,RFC 9846,
0x1305,TLS_AES_128_CCM_8_SHA256,,,AES-CCM-8,128,SHA-256,N,RFC 9846 + IESG action 2018-08-16,tag truncated to 8 bytes so forgery resistance drops to about 2^64; the only TLS 1.3 suite not recommended
0xC02B,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,ECDHE,ECDSA,AES-GCM,128,SHA-256,Y,RFC 5289,TLS 1.2 names the whole bundle including key exchange and authentication
0xC02C,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,ECDHE,ECDSA,AES-GCM,256,SHA-384,Y,RFC 5289,
0xC02F,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,ECDHE,RSA,AES-GCM,128,SHA-256,Y,RFC 5289,
0xC030,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,ECDHE,RSA,AES-GCM,256,SHA-384,Y,RFC 5289,
0xCCA8,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,ECDHE,RSA,ChaCha20-Poly1305,256,SHA-256,Y,RFC 7905,
0xCCA9,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,ECDHE,ECDSA,ChaCha20-Poly1305,256,SHA-256,Y,RFC 7905,
0xCCAC,TLS_ECDHE_PSK_WITH_CHACHA20_POLY1305_SHA256,ECDHE,PSK,ChaCha20-Poly1305,256,SHA-256,Y,RFC 7905,
0xD001,TLS_ECDHE_PSK_WITH_AES_128_GCM_SHA256,ECDHE,PSK,AES-GCM,128,SHA-256,Y,RFC 8442,
0xD002,TLS_ECDHE_PSK_WITH_AES_256_GCM_SHA384,ECDHE,PSK,AES-GCM,256,SHA-384,Y,RFC 8442,
0xD005,TLS_ECDHE_PSK_WITH_AES_128_CCM_SHA256,ECDHE,PSK,AES-CCM,128,SHA-256,Y,RFC 8442,
